id,distribution,e_time
1,"[{'shop_id': '21193183', 'shop_name': 'FunFunShirtKh'}, {'word': 't-shirt', 'count': 125}, {'word': 'shirt', 'count': 75}, {'word': 'shipping', 'count': 50}, {'word': 'exchange', 'count': 50}, {'word': 'international', 'count': 25}]",1568918410.378022
2,"[{'shop_id': '21189719', 'shop_name': 'hannahrainfinegold'}, {'word': 'work', 'count': 50}, {'word': 'original', 'count': 40}, {'word': 'mind', 'count': 25}, {'word': 'though', 'count': 25}, {'word': 'one-of-a-kind', 'count': 25}]",1568918410.378034
3,"[{'shop_id': '21187207', 'shop_name': 'TampaCoinRings'}, {'word': 'chain', 'count': 148}, {'word': 'silver', 'count': 119}, {'word': 'necklace', 'count': 101}, {'word': 'steel', 'count': 97}, {'word': 'stainless', 'count': 97}]",1568918410.378043
4,"[{'shop_id': '21186617', 'shop_name': 'MyshirtsandmugsShop'}, {'word': 'sleeve', 'count': 66}, {'word': 'length', 'count': 64}, {'word': 'width', 'count': 64}, {'word': 'order', 'count': 51}, {'word': 'delivery', 'count': 50}]",1568918410.378051
5,"[{'shop_id': '21184843', 'shop_name': 'KratiTapestry'}, {'word': 'wall', 'count': 119}, {'word': 'tapestry', 'count': 71}, {'word': 'mandala', 'count': 60}, {'word': 'bedspread', 'count': 57}, {'word': 'bed', 'count': 57}]",1568918410.3780587
6,"[{'shop_id': '21184515', 'shop_name': 'SacraViaShop'}, {'word': 'mug', 'count': 45}, {'word': 'white', 'count': 32}, {'word': 'large', 'count': 30}, {'word': 'tea', 'count': 30}, {'word': 'ounce', 'count': 30}]",1568918410.3780665
7,"[{'shop_id': '21184151', 'shop_name': 'Longbanhbeo'}, {'word': 'quilt', 'count': 63}, {'word': 'soft', 'count': 50}, {'word': 'fleece', 'count': 37}, {'word': 'blanket', 'count': 36}, {'word': 'quickly.*lightweight', 'count': 25}]",1568918410.3780742
8,"[{'shop_id': '21184005', 'shop_name': 'Ibrahandicrafts'}, {'word': ':', 'count': 28}, {'word': 'clutch', 'count': 27}, {'word': 'strap', 'count': 26}, {'word': 'designer', 'count': 25}, {'word': 'cm', 'count': 23}]",1568918410.3780818
9,"[{'shop_id': '21183671', 'shop_name': 'SugarPearlDesignCo'}, {'word': 'doormats', 'count': 75}, {'word': 'direct', 'count': 50}, {'word': 'x', 'count': 50}, {'word': 'shake', 'count': 50}, {'word': 'one', 'count': 50}]",1568918410.3780894
10,"[{'shop_id': '21183409', 'shop_name': 'ChrisLottShop'}, {'word': 'download', 'count': 204}, {'word': 'digital', 'count': 110}, {'word': 'files', 'count': 107}, {'word': '13', 'count': 100}, {'word': 'available', 'count': 100}]",1568918410.3780966
